Country_Region,Province_State,Confirmed,Deaths,
Afghanistan,,175893,7639,
Albania,,272479,3484,
Algeria,,265366,6861,
Andorra,,38794,152,
Angola,,98855,1900,
Antarctica,,11,0,
Antigua and Barbuda,,7461,135,
Argentina,,8961595,127009,
Armenia,,421714,8563,
Australia,Australian Capital Territory,58021,37,
Australia,New South Wales,1435768,1971,
Australia,Northern Territory,44513,33,
Australia,Queensland,616937,623,
Australia,South Australia,170346,219,
Australia,Tasmania,55696,26,
Australia,Victoria,1112363,2629,
Australia,Western Australia,34250,12,
Austria,,3022079,15136,
Azerbaijan,,790153,9575,
Bahamas,,33188,771,
Bahrain,,533748,1462,
Bangladesh,,1948798,29100,
Barbados,,56679,323,
Belarus,,935684,6618,
Belgium,Antwerp,552742,0,
Belgium,Brussels,416222,0,
Belgium,East Flanders,467419,0,
Belgium,Flemish Brabant,336705,0,
Belgium,Hainaut,420499,0,
Belgium,Liege,349294,0,
Belgium,Limburg,260195,0,
Belgium,Luxembourg,95347,0,
Belgium,Namur,163175,0,
Belgium,Unknown,53485,30380,
Belgium,Walloon Brabant,136934,0,
Belgium,West Flanders,377654,0,
Belize,,57003,652,
Benin,,26575,163,
Bhutan,,16277,7,
Bolivia,,896744,21472,
Bosnia and Herzegovina,,372962,15610,
Botswana,,263950,2619,
Brazil,Acre,123157,1987,
Brazil,Alagoas,293954,6778,
Brazil,Amapa,160198,2116,
Brazil,Amazonas,577094,14137,
Brazil,Bahia,1514797,29446,
Brazil,Ceara,1232805,26525,
Brazil,Distrito Federal,687358,11497,
Brazil,Espirito Santo,1030538,14222,
Brazil,Goias,1207381,25955,
Brazil,Maranhao,417566,10839,
Brazil,Mato Grosso,716129,14793,
Brazil,Mato Grosso do Sul,511191,10430,
Brazil,Minas Gerais,3255023,60153,
Brazil,Para,733128,17961,
Brazil,Paraiba,584306,10148,
Brazil,Parana,2374108,42632,
Brazil,Pernambuco,858568,21184,
Brazil,Piaui,366414,7697,
Brazil,Rio Grande do Norte,483167,8082,
Brazil,Rio Grande do Sul,2202873,38647,
Brazil,Rio de Janeiro,2027636,72093,
Brazil,Rondonia,382904,7111,
Brazil,Roraima,154405,2137,
Brazil,Santa Catarina,1641437,21529,
Brazil,Sao Paulo,5100545,165878,
Brazil,Sergipe,322025,6279,
Brazil,Tocantins,300499,4124,
Brunei,,104022,156,
Bulgaria,,1109581,36028,
Burkina Faso,,20751,375,
Burma,,603263,19401,
Burundi,,38238,38,
Cabo Verde,,55906,401,
Cambodia,,133501,3044,
Cameroon,,119322,1926,
Canada,Alberta,530288,3992,
Canada,British Columbia,351751,2932,
Canada,Diamond Princess,0,1,
Canada,Grand Princess,13,0,
Canada,Manitoba,132487,1708,
Canada,New Brunswick,41109,316,
Canada,Newfoundland and Labrador,28103,72,
Canada,Northwest Territories,9466,20,
Canada,Nova Scotia,47089,212,
Canada,Nunavut,3200,5,
Canada,Ontario,1133667,12688,
Canada,Prince Edward Island,18905,16,
Canada,Quebec,933441,14141,
Canada,Repatriated Travellers,13,0,
Canada,Saskatchewan,128289,1135,
Canada,Yukon,3546,23,
Central African Republic,,14320,113,
Chad,,7260,190,
Chile,Antofagasta,116813,1427,
Chile,Araucania,196775,1819,
Chile,Arica y Parinacota,53429,651,
Chile,Atacama,60637,435,
Chile,Aysen,22574,136,
Chile,Biobio,315170,3293,
Chile,Coquimbo,113812,1286,
Chile,Los Lagos,179314,1775,
Chile,Los Rios,98031,894,
Chile,Magallanes,47867,578,
Chile,Maule,212529,2148,
Chile,Metropolitana,1255531,21413,
Chile,Nuble,89037,802,
Chile,OHiggins,134482,1805,
Chile,Tarapaca,77643,951,
Chile,Unknown,43,0,
Chile,Valparaiso,276203,4114,
China,Anhui,1015,6,
China,Beijing,1603,9,
China,Chongqing,626,6,
China,Fujian,1591,1,
China,Gansu,524,2,
China,Guangdong,5620,8,
China,Guangxi,1246,2,
China,Guizhou,162,2,
China,Hainan,193,6,
China,Hebei,1552,7,
China,Heilongjiang,2108,13,
China,Henan,2703,22,
China,Hong Kong,575623,3150,
China,Hubei,68384,4512,
China,Hunan,1235,4,
China,Inner Mongolia,1664,1,
China,Jiangsu,1866,0,
China,Jiangxi,959,1,
China,Jilin,1133,3,
China,Liaoning,1044,2,
China,Macau,82,0,
China,Ningxia,122,0,
China,Qinghai,31,0,
China,Shaanxi,2889,3,
China,Shandong,1585,7,
China,Shanghai,4720,7,
China,Shanxi,295,0,
China,Sichuan,1545,3,
China,Tianjin,1213,3,
China,Tibet,1,0,
China,Unknown,0,0,
China,Xinjiang,996,3,
China,Yunnan,1998,2,
China,Zhejiang,2317,1,
Colombia,Amazonas,7553,264,
Colombia,Antioquia,917089,18199,
Colombia,Arauca,16258,525,
Colombia,Atlantico,401779,10116,
Colombia,Bolivar,196831,3236,
Colombia,Boyaca,124669,2774,
Colombia,Caldas,116782,2521,
Colombia,Capital District,1761706,29225,
Colombia,Caqueta,24868,1015,
Colombia,Casanare,41550,994,
Colombia,Cauca,72093,1783,
Colombia,Cesar,106262,2667,
Colombia,Choco,18577,426,
Colombia,Cordoba,118870,3924,
Colombia,Cundinamarca,317374,7248,
Colombia,Guainia,2754,37,
Colombia,Guaviare,5582,105,
Colombia,Huila,100161,3491,
Colombia,La Guajira,56203,1520,
Colombia,Magdalena,114674,3620,
Colombia,Meta,104799,2530,
Colombia,Narino,104361,3299,
Colombia,Norte de Santander,119420,5061,
Colombia,Putumayo,20457,769,
Colombia,Quindio,70738,2051,
Colombia,Risaralda,106188,2464,
Colombia,San Andres y Providencia,10147,154,
Colombia,Santander,282502,8141,
Colombia,Sucre,65604,1713,
Colombia,Tolima,124176,3991,
Colombia,Unknown,0,300,
Colombia,Valle del Cauca,539568,14977,
Colombia,Vaupes,1887,19,
Colombia,Vichada,3392,61,
Comoros,,8057,160,
Congo (Brazzaville),,24041,378,
Congo (Kinshasa),,86290,1335,
Costa Rica,,821813,8149,
Cote d'Ivoire,,81571,795,
Croatia,,1069317,15294,
Cuba,,1075030,8502,
Cyprus,,344856,889,
Czechia,,3662117,39068,
Denmark,Faroe Islands,34658,28,
Denmark,Greenland,11849,20,
Denmark,,2923030,5049,
Diamond Princess,,712,13,
Djibouti,,15564,189,
Dominica,,11502,62,
Dominican Republic,,576220,4372,
Ecuador,,843760,35316,
Egypt,,494519,24269,
El Salvador,,156364,4094,
Equatorial Guinea,,15894,183,
Eritrea,,9719,103,
